TS,Sequence,Node,Millis,Sensor,Reading,ReadingUnits,Memo,RSSI,OriginId
2013-11-07 11:49:25,R3871,Proto1,3050319,DUM,3.14,na,,-81,0
2013-11-07 11:49:26,R3876,Proto1,3051667,Dallas,28.88,C,,-76,0
2013-11-07 11:49:26,R3876,Proto1,3051667,Dallas-F,83.984,F,,-76,0
2013-11-07 11:49:30,R3877,Proto1,3056407,SHT15-Temp,-42.56,C,,-80,0
2013-11-07 11:49:30,R3877,Proto1,3056407,SHT15-Temp-F,-44.608,F,,-80,0
2013-11-07 11:49:31,R3878,Proto1,3056447,SHT15-RH,-13.84,%RH,,-29,0
2013-11-07 11:49:31,R3880,Proto1,3056640,BATT-V,3.30,volts,,-77,0
2013-11-07 11:49:31,R3884,Proto1,3057074,BMP-Pressure,100256.00,Pa,,-77,0
2013-11-07 11:49:31,R3884,Proto1,3057074,BMP-Pressure,100256.00,Pa,,-80,0
2013-11-07 11:49:32,R3886,Proto1,3058069,Dallas,28.88,C,,-79,0
2013-11-07 11:49:32,R3886,Proto1,3058069,Dallas-F,83.984,F,,-79,0
2013-11-07 11:49:37,R3887,Proto1,3062808,SHT15-Temp,-42.56,C,,-76,0
2013-11-07 11:49:37,R3887,Proto1,3062808,SHT15-Temp-F,-44.608,F,,-76,0
2013-11-07 11:49:37,R3889,Proto1,3062927,Radio-Temp,29.00,C,,-81,0
2013-11-07 11:49:37,R3889,Proto1,3062927,Radio-Temp-F,84.2,F,,-81,0
2013-11-07 11:49:37,R3890,Proto1,3063024,BATT-V,3.19,volts,,-83,0
2013-11-07 11:49:37,R3891,Proto1,3063114,DUM,3.14,na,,-80,0
2013-11-07 11:49:37,R3893,Proto1,3063318,BMP-Temp,28.26,C,,-77,0
2013-11-07 11:49:37,R3893,Proto1,3063318,BMP-Temp-F,82.868,F,,-77,0
2013-11-07 11:49:38,R3894,Proto1,3063446,BMP-Pressure,100260.00,Pa,,-83,0
2013-11-07 11:49:39,R3896,Proto1,3064453,Dallas,28.94,C,,-79,0
2013-11-07 11:49:39,R3896,Proto1,3064453,Dallas-F,84.092,F,,-79,0
2013-11-07 11:49:43,R3897,Proto1,3069193,SHT15-Temp,-42.56,C,,-82,0
2013-11-07 11:49:43,R3897,Proto1,3069193,SHT15-Temp-F,-44.608,F,,-82,0
2013-11-07 11:49:44,R3901,Proto1,3069524,DUM,3.14,na,,-84,0
2013-11-07 11:49:44,R3903,Proto1,3069734,BMP-Temp,28.23,C,,-79,0
2013-11-07 11:49:44,R3903,Proto1,3069734,BMP-Temp-F,82.814,F,,-79,0
2013-11-07 11:49:44,R3904,Proto1,3069862,BMP-Pressure,100256.00,Pa,,-77,0
2013-11-07 11:49:47,R3904,Proto1,3069862,BMP-Pressure,100256.00,Pa,,-79,0
2013-11-07 11:49:48,R3906,Proto1,3073807,Dallas,28.88,C,,-80,0
2013-11-07 11:49:48,R3906,Proto1,3073807,Dallas-F,83.984,F,,-80,0
2013-11-07 11:49:53,R3907,Proto1,3078548,SHT15-Temp,-42.56,C,,-76,0
